contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g
C2_UPEC_VS_PBS_PREGNANCY	FATTY_ACID_BETA_OXIDATION	lipid_metabolism	Fatty-acid beta-oxidation	Figure_7	3	2	1	0.6666666666666666	positive	0.3260981822439222	0.42591251115862
C2_UPEC_VS_PBS_PREGNANCY	FATTY_ACID_SYNTHESIS	lipid_metabolism	Fatty-acid synthesis	Figure_7	3	2	1	0.6666666666666666	positive	0.2246946199165754	0.40027141480109485
C2_UPEC_VS_PBS_PREGNANCY	FERROPTOSIS_LIPID_PEROXIDATION	lipid_metabolism	Ferroptosis-linked lipid peroxidation	Figure_7	3	1	2	0.6666666666666666	negative	-0.0051843513252547	0.40343775645804775
C2_UPEC_VS_PBS_PREGNANCY	GLUCOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Glucocorticoid response	Figure_7	3	2	1	0.6666666666666666	positive	0.024692674055856	0.11039155860352057
C2_UPEC_VS_PBS_PREGNANCY	GLUCONEOGENESIS	carbohydrate_inflammatory_carbon	Gluconeogenesis	Figure_8	3	2	1	0.6666666666666666	positive	0.2826640207251812	0.7100923986716122
C2_UPEC_VS_PBS_PREGNANCY	GLUCOSE_TRANSPORT	carbohydrate_inflammatory_carbon	Glucose transport	Figure_8	3	1	2	0.6666666666666666	negative	-0.3233823817905002	0.439707528534426
C2_UPEC_VS_PBS_PREGNANCY	GLUTAMINE_GLUTAMATE	amino_acid_metabolism	Glutamine and glutamate metabolism	Figure_9	3	1	2	0.6666666666666666	negative	-0.0118072454892652	0.3105641270860215
C2_UPEC_VS_PBS_PREGNANCY	GLYCOGENOLYSIS	carbohydrate_inflammatory_carbon	Glycogenolysis	Figure_8	3	2	1	0.6666666666666666	positive	0.0977903621847027	0.3519602292346331
C2_UPEC_VS_PBS_PREGNANCY	GLYCOGEN_SYNTHESIS	carbohydrate_inflammatory_carbon	Glycogen synthesis	Figure_8	3	1	2	0.6666666666666666	negative	-0.0039774294391697	0.2998334349845155
C2_UPEC_VS_PBS_PREGNANCY	GLYCOLYSIS	carbohydrate_inflammatory_carbon	Glycolysis	Figure_8	3	1	2	0.6666666666666666	negative	-0.406645615550242	0.5890357099526807
C2_UPEC_VS_PBS_PREGNANCY	INSULIN_RECEPTOR_IRS	insulin_irs_signaling	Insulin receptor and IRS signaling	Figure_8	3	1	2	0.6666666666666666	negative	-0.0467415211978371	0.17752816787359715
C2_UPEC_VS_PBS_PREGNANCY	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	carbohydrate_inflammatory_carbon	Lactate and HIF1A inflammatory glycolysis	Figure_8	3	1	2	0.6666666666666666	negative	-0.1814703505147327	0.2994832740829287
