dataset	dataset_label	layer	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	proposed_figure_family
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	13	13	1.0	adequate	ADA;AOX1;CAT;CYBA;CYBB;GPX1;HMOX1;NCF1;NCF2;PNP;SOD1;SOD2;XDH		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	13	13	1.0	adequate	ADA;AOX1;CAT;CYBA;CYBB;GPX1;HMOX1;NCF1;NCF2;PNP;SOD1;SOD2;XDH		Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	13	12	0.9231	adequate	ADA;AOX1;CAT;CYBA;CYBB;GPX1;HMOX1;NCF1;NCF2;PNP;SOD1;XDH	SOD2	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	13	13	1.0	adequate	ADA;AOX1;CAT;CYBA;CYBB;GPX1;HMOX1;NCF1;NCF2;PNP;SOD1;SOD2;XDH		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	10	8	0.8	adequate	C1QA;C1QB;C1QC;C2;C3;C4A;C4B;SERPING1	C1R;C1S	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	10	8	0.8	adequate	C1QA;C1QB;C1QC;C2;C3;C4A;C4B;SERPING1	C1R;C1S	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	10	9	0.9	adequate	C1QA;C1QB;C1QC;C1R;C1S;C2;C3;C4A;SERPING1	C4B	Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	10	8	0.8	adequate	C1QA;C1QB;C1QC;C2;C3;C4A;C4B;SERPING1	C1R;C1S	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	12	8	0.6667	adequate	C2;C4A;C4B;COLEC10;COLEC11;MASP1;MASP2;MBL2	FCN1;FCN2;FCN3;MASP3	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	12	8	0.6667	adequate	C2;C4A;C4B;COLEC10;COLEC11;MASP1;MASP2;MBL2	FCN1;FCN2;FCN3;MASP3	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	12	10	0.8333	adequate	C2;C4A;COLEC10;COLEC11;FCN1;FCN2;FCN3;MASP1;MASP2;MBL2	C4B;MASP3	Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	12	7	0.5833	partial	C2;C4A;C4B;COLEC10;COLEC11;MASP1;MASP2	FCN1;FCN2;FCN3;MASP3;MBL2	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	11	9	0.8182	adequate	C3;CFB;CFD;CFH;CFHR1;CFHR2;CFHR3;CFI;CFP	CFHR4;CFHR5	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	11	9	0.8182	adequate	C3;CFB;CFD;CFH;CFHR1;CFHR2;CFHR3;CFI;CFP	CFHR4;CFHR5	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	11	11	1.0	adequate	C3;CFB;CFD;CFH;CFHR1;CFHR2;CFHR3;CFHR4;CFHR5;CFI;CFP		Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	11	6	0.5455	partial	C3;CFB;CFD;CFH;CFHR2;CFP	CFHR1;CFHR3;CFHR4;CFHR5;CFI	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	10	9	0.9	adequate	C2;C3;C4A;C4B;CFB;CFD;CFH;CFI;CFP	CR1	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	10	9	0.9	adequate	C2;C3;C4A;C4B;CFB;CFD;CFH;CFI;CFP	CR1	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	10	9	0.9	adequate	C2;C3;C4A;CFB;CFD;CFH;CFI;CFP;CR1	C4B	Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	10	8	0.8	adequate	C2;C3;C4A;C4B;CFB;CFD;CFH;CFP	CFI;CR1	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	10	8	0.8	adequate	C6;C7;C8A;C8B;C8G;C9;CLU;VTN	C5;CD59	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	10	8	0.8	adequate	C6;C7;C8A;C8B;C8G;C9;CLU;VTN	C5;CD59	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	10	9	0.9	adequate	C5;C6;C7;C8A;C8B;C8G;C9;CD59;CLU	VTN	Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	10	6	0.6	partial	C6;C7;C8G;C9;CLU;VTN	C5;C8A;C8B;CD59	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	12	8	0.6667	adequate	CD46;CD55;CFH;CFI;CLU;CR2;SERPING1;VTN	C4BPA;C4BPB;CD59;CR1	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	12	8	0.6667	adequate	CD46;CD55;CFH;CFI;CLU;CR2;SERPING1;VTN	C4BPA;C4BPB;CD59;CR1	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	12	11	0.9167	adequate	C4BPA;C4BPB;CD46;CD55;CD59;CFH;CFI;CLU;CR1;CR2;SERPING1	VTN	Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	12	7	0.5833	partial	CD46;CD55;CFH;CLU;CR2;SERPING1;VTN	C4BPA;C4BPB;CD59;CFI;CR1	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	16	15	0.9375	adequate	C3;F10;F11;F2;F3;F5;F7;KLKB1;KNG1;PLG;PROC;PROS1;SERPINE1;THBD;VWF	C5	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	16	15	0.9375	adequate	C3;F10;F11;F2;F3;F5;F7;KLKB1;KNG1;PLG;PROC;PROS1;SERPINE1;THBD;VWF	C5	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	16	16	1.0	adequate	C3;C5;F10;F11;F2;F3;F5;F7;KLKB1;KNG1;PLG;PROC;PROS1;SERPINE1;THBD;VWF		Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	16	13	0.8125	adequate	C3;F10;F11;F2;F3;F5;F7;KLKB1;PROC;PROS1;SERPINE1;THBD;VWF	C5;KNG1;PLG	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	14	9	0.6429	partial	C1QA;C1QB;C1QC;C3;C4B;CR2;ITGAM;ITGB2;TYROBP	CR1;FCGR1A;FCGR2A;FCGR3A;LILRB1	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	14	9	0.6429	partial	C1QA;C1QB;C1QC;C3;C4B;CR2;ITGAM;ITGB2;TYROBP	CR1;FCGR1A;FCGR2A;FCGR3A;LILRB1	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	14	12	0.8571	adequate	C1QA;C1QB;C1QC;C3;CR1;CR2;FCGR2A;FCGR3A;ITGAM;ITGB2;LILRB1;TYROBP	C4B;FCGR1A	Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	14	9	0.6429	partial	C1QA;C1QB;C1QC;C3;C4B;CR2;ITGAM;ITGB2;TYROBP	CR1;FCGR1A;FCGR2A;FCGR3A;LILRB1	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	12	10	0.8333	adequate	C3;C3AR1;C5AR1;C5AR2;GNAI2;IL1B;MAPK1;MAPK3;NLRP3;TNF	C5;CXCL8	Figure_10
GSE280297	pregnancy-associated UTI model	bulk	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	12	11	0.9167	adequate	C3;C3AR1;C5AR1;C5AR2;CXCL8;GNAI2;IL1B;MAPK1;MAPK3;NLRP3;TNF	C5	Figure_10
GSE112098	human urine inflammatory comparator	bulk	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	12	12	1.0	adequate	C3;C3AR1;C5;C5AR1;C5AR2;CXCL8;GNAI2;IL1B;MAPK1;MAPK3;NLRP3;TNF		Figure_10
GSE252321	UPEC-responsive single-cell validation	single-cell	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	12	10	0.8333	adequate	C3;C3AR1;C5AR1;C5AR2;GNAI2;IL1B;MAPK1;MAPK3;NLRP3;TNF	C5;CXCL8	Figure_10
GSE186800	recurrence-trigger bladder model	bulk	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	15	15	1.0	adequate	CD14;IRAK1;IRAK4;IRF3;LBP;LY96;MYD88;NFKB1;RELA;TBK1;TICAM1;TICAM2;TIRAP;TLR4;TRAF6		Integrated_network
GSE280297	pregnancy-associated UTI model	bulk	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	15	15	1.0	adequate	CD14;IRAK1;IRAK4;IRF3;LBP;LY96;MYD88;NFKB1;RELA;TBK1;TICAM1;TICAM2;TIRAP;TLR4;TRAF6		Integrated_network
GSE112098	human urine inflammatory comparator	bulk	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	15	14	0.9333	adequate	CD14;IRAK4;IRF3;LBP;LY96;MYD88;NFKB1;RELA;TBK1;TICAM1;TICAM2;TIRAP;TLR4;TRAF6	IRAK1	Integrated_network
GSE252321	UPEC-responsive single-cell validation	single-cell	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	15	15	1.0	adequate	CD14;IRAK1;IRAK4;IRF3;LBP;LY96;MYD88;NFKB1;RELA;TBK1;TICAM1;TICAM2;TIRAP;TLR4;TRAF6		Integrated_network
GSE186800	recurrence-trigger bladder model	bulk	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	16	15	0.9375	adequate	CCL2;IKBKB;IKBKG;IL1B;IL6;MAPK1;MAPK14;MAPK3;MAPK8;NFKB1;NFKB2;NFKBIA;RELA;RELB;TNF	CXCL8	Integrated_network
GSE280297	pregnancy-associated UTI model	bulk	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	16	16	1.0	adequate	CCL2;CXCL8;IKBKB;IKBKG;IL1B;IL6;MAPK1;MAPK14;MAPK3;MAPK8;NFKB1;NFKB2;NFKBIA;RELA;RELB;TNF		Integrated_network
GSE112098	human urine inflammatory comparator	bulk	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	16	16	1.0	adequate	CCL2;CXCL8;IKBKB;IKBKG;IL1B;IL6;MAPK1;MAPK14;MAPK3;MAPK8;NFKB1;NFKB2;NFKBIA;RELA;RELB;TNF		Integrated_network
GSE252321	UPEC-responsive single-cell validation	single-cell	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	16	15	0.9375	adequate	CCL2;IKBKB;IKBKG;IL1B;IL6;MAPK1;MAPK14;MAPK3;MAPK8;NFKB1;NFKB2;NFKBIA;RELA;RELB;TNF	CXCL8	Integrated_network
GSE186800	recurrence-trigger bladder model	bulk	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	16	15	0.9375	adequate	CSF3R;CTSG;CXCR2;CYBB;ELANE;FPR1;LCN2;LTF;MPO;NCF1;NCF2;PADI4;PRTN3;S100A8;S100A9	FCGR3B	Integrated_network
GSE280297	pregnancy-associated UTI model	bulk	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	16	15	0.9375	adequate	CSF3R;CTSG;CXCR2;CYBB;ELANE;FPR1;LCN2;LTF;MPO;NCF1;NCF2;PADI4;PRTN3;S100A8;S100A9	FCGR3B	Integrated_network
GSE112098	human urine inflammatory comparator	bulk	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	16	16	1.0	adequate	CSF3R;CTSG;CXCR2;CYBB;ELANE;FCGR3B;FPR1;LCN2;LTF;MPO;NCF1;NCF2;PADI4;PRTN3;S100A8;S100A9		Integrated_network
GSE252321	UPEC-responsive single-cell validation	single-cell	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	16	15	0.9375	adequate	CSF3R;CTSG;CXCR2;CYBB;ELANE;FPR1;LCN2;LTF;MPO;NCF1;NCF2;PADI4;PRTN3;S100A8;S100A9	FCGR3B	Integrated_network
GSE186800	recurrence-trigger bladder model	bulk	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	13	13	1.0	adequate	CAT;GCLC;GCLM;GPX1;HMOX1;KEAP1;NFE2L2;NQO1;PRDX1;SOD1;SOD2;SRXN1;TXNRD1		Integrated_network
GSE280297	pregnancy-associated UTI model	bulk	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	13	13	1.0	adequate	CAT;GCLC;GCLM;GPX1;HMOX1;KEAP1;NFE2L2;NQO1;PRDX1;SOD1;SOD2;SRXN1;TXNRD1		Integrated_network
GSE112098	human urine inflammatory comparator	bulk	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	13	11	0.8462	adequate	CAT;GCLC;GCLM;GPX1;HMOX1;KEAP1;NFE2L2;NQO1;PRDX1;SOD1;TXNRD1	SOD2;SRXN1	Integrated_network
GSE252321	UPEC-responsive single-cell validation	single-cell	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	13	13	1.0	adequate	CAT;GCLC;GCLM;GPX1;HMOX1;KEAP1;NFE2L2;NQO1;PRDX1;SOD1;SOD2;SRXN1;TXNRD1		Integrated_network
GSE186800	recurrence-trigger bladder model	bulk	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	16	16	1.0	adequate	AREG;CLDN4;CLDN7;EGFR;EPCAM;KRT14;KRT18;KRT19;KRT5;KRT8;OCLN;TJP1;UPK1A;UPK1B;UPK2;UPK3A		Integrated_network
GSE280297	pregnancy-associated UTI model	bulk	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	16	16	1.0	adequate	AREG;CLDN4;CLDN7;EGFR;EPCAM;KRT14;KRT18;KRT19;KRT5;KRT8;OCLN;TJP1;UPK1A;UPK1B;UPK2;UPK3A		Integrated_network
GSE112098	human urine inflammatory comparator	bulk	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	16	16	1.0	adequate	AREG;CLDN4;CLDN7;EGFR;EPCAM;KRT14;KRT18;KRT19;KRT5;KRT8;OCLN;TJP1;UPK1A;UPK1B;UPK2;UPK3A		Integrated_network
GSE252321	UPEC-responsive single-cell validation	single-cell	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	16	15	0.9375	adequate	CLDN4;CLDN7;EGFR;EPCAM;KRT14;KRT18;KRT19;KRT5;KRT8;OCLN;TJP1;UPK1A;UPK1B;UPK2;UPK3A	AREG	Integrated_network
GSE186800	recurrence-trigger bladder model	bulk	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	15	14	0.9333	adequate	CCL2;CRH;ESR1;HIF1A;HSD11B2;IL1B;IL6;LEPR;NFKB1;PGR;PTGS2;RELA;SERPINE1;TNF	CXCL8	Integrated_network
GSE280297	pregnancy-associated UTI model	bulk	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	15	15	1.0	adequate	CCL2;CRH;CXCL8;ESR1;HIF1A;HSD11B2;IL1B;IL6;LEPR;NFKB1;PGR;PTGS2;RELA;SERPINE1;TNF		Integrated_network
GSE112098	human urine inflammatory comparator	bulk	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	15	14	0.9333	adequate	CCL2;CRH;CXCL8;ESR1;HIF1A;HSD11B2;IL1B;IL6;NFKB1;PGR;PTGS2;RELA;SERPINE1;TNF	LEPR	Integrated_network
GSE252321	UPEC-responsive single-cell validation	single-cell	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	15	14	0.9333	adequate	CCL2;CRH;ESR1;HIF1A;HSD11B2;IL1B;IL6;LEPR;NFKB1;PGR;PTGS2;RELA;SERPINE1;TNF	CXCL8	Integrated_network
