working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
10	Working_Figure_10	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf	UTI_HostOmics_U27A4_Figure_10.pdf	pdf	48960	1784143752.0			19026	True
10	Working_Figure_10	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png	UTI_HostOmics_U27A4_Figure_10.png	png	559225	1784143751.0	2370.0	2645.0	19021	True
10	Working_Figure_10	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_10.svg	UTI_HostOmics_U27A32_Figure_10.svg	svg	108422	1784143752.0883603			18031	False
10	Working_Figure_10	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_10.pdf	UTI_HostOmics_U27A32_Figure_10.pdf	pdf	48960	1784143752.7525165			18026	False
10	Working_Figure_10	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_10.png	UTI_HostOmics_U27A32_Figure_10.png	png	559225	1784143751.543161	2370.0	2645.0	18021	False
10	Working_Figure_10	project://06_figures/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_Figure_10_broad_celltypes.png	UTI_HostOmics_U26D2B_Figure_10_broad_celltypes.png	png	192649	1784058777.6050446	2702.0	2044.0	17920	False
10	Working_Figure_10	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_10.svg	UTI_HostOmics_U27A2_Figure_10.svg	svg	75147	1784137648.9827933			17881	False
10	Working_Figure_10	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_10.svg	UTI_HostOmics_U27A31_Figure_10.svg	svg	108436	1784142660.9038994			17881	False
10	Working_Figure_10	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_10.svg	UTI_HostOmics_U27A3_Figure_10.svg	svg	113325	1784141582.4177568			17881	False
10	Working_Figure_10	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_10_primary_effect_heatmap.svg	UTI_HostOmics_U26B1_1_Figure_10_primary_effect_heatmap.svg	svg	82986	1784051631.259676			17880	False
10	Working_Figure_10	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_candidate_effect_heatmap.svg	UTI_HostOmics_U26B1_Figure_10_candidate_effect_heatmap.svg	svg	95127	1784051158.4173212			17880	False
